Model,LT_0/LT,I_Glow,V_Lamp,V_Lampnom
1F8T5,0.746268657,0.0045,53.3,56
1F8T5,0.746268657,0.0045,53.3,56
2CF13,4.545454545,0.0105,58,77
2CF13,4.545454545,0.0105,58,77
3CF13,2.173913043,0.0081,59.1,77
3CF13,2.173913043,0.0081,59.1,77
3CF13,2.173913043,0.0081,59.1,77
4F13T5,1.162790698,0.00467,90,94
4F13T5,1.162790698,0.00467,90,94
5F8T5,0.970873786,0.00449,53.3,56
5F8T5,0.970873786,0.00449,53.3,56
5F8T5,0.970873786,0.00449,53.3,56
6F13T5,0.869565217,0.012,105,105
6F13T5,0.869565217,0.012,105,105
7CF13,4,0.019,57.5,77
7CF13,4,0.019,57.5,77
8CF13,2.43902439,0.024,61.7,77
8CF13,2.43902439,0.024,61.7,77
8CF13,2.43902439,0.024,61.7,77
9F15T8,5.555555556,0.045,41.8,55
10F8T5,5.555555556,0.0186,40.7,56
10F8T5,5.555555556,0.0186,40.7,56
10F8T5,5.555555556,0.0186,40.7,56
11F20T12,0.769230769,0.0161,57.8,57
11F20T12,0.769230769,0.0161,57.8,57
11F20T12,0.769230769,0.0161,57.8,57
12CF7,0.99009901,0.037,37.5,37
12CF7,0.99009901,0.037,37.5,37
12CF7,0.99009901,0.037,37.5,37
13CF7,0.806451613,0.018,47.2,45
13CF7,0.806451613,0.018,47.2,45
14CF11,1.612903226,0.013,67.7,54
14CF11,1.612903226,0.013,67.7,54
14CF11,1.612903226,0.013,67.7,54
